Size,Method,X1,Y1,Z1,X2,Y2,Z2,Distance
25000,FB,270, 685, -718,271, 687, -720,3
25000,FB,-416, 602, -746,-414, 603, -746,2.23607
25000,FB,-104, 645, 924,-102, 644, 926,3
50000,FB,-172, -832, 992,-170, -832, 990,2.82843
50000,FB,253, -458, -497,255, -459, -495,3
50000,FB,-20, 738, -576,-19, 736, -574,3
50000,FB,554, 183, -697,554, 185, -698,2.23607
50000,FB,-171, 60, 358,-171, 61, 359,1.41421
50000,FB,-396, 721, 651,-394, 720, 650,2.44949
50000,FB,555, -709, 663,556, -708, 665,2.44949
50000,FB,-63, 104, 648,-63, 106, 649,2.23607
50000,FB,500, -214, -649,503, -214, -649,3
50000,FB,75, 717, -453,76, 717, -452,1.41421
50000,FB,-819, 794, -822,-817, 793, -820,3
50000,FB,20, -638, 667,21, -637, 667,1.41421
50000,FB,-964, 28, 659,-963, 28, 658,1.41421
50000,FB,-607, 436, -676,-606, 435, -678,2.44949
50000,FB,-999, -262, 647,-997, -263, 645,3
50000,FB,-127, 273, 71,-126, 272, 73,2.44949
50000,FB,449, -567, 290,450, -569, 288,3
50000,FB,741, -117, 355,742, -118, 355,1.41421
50000,FB,-633, 525, 997,-631, 524, 996,2.44949
75000,FB,-976, -73, -768,-975, -71, -766,3
75000,FB,-413, 96, 721,-412, 97, 722,1.73205
75000,FB,364, 919, 500,364, 920, 499,1.41421
75000,FB,-861, -256, 823,-861, -255, 823,1
75000,FB,503, 651, -593,504, 650, -591,2.44949
75000,FB,470, 142, -169,471, 140, -169,2.23607
75000,FB,-487, 680, -239,-486, 681, -240,1.73205
75000,FB,-817, 707, -39,-817, 708, -39,1
75000,FB,976, 447, -717,978, 446, -719,3
75000,FB,646, 155, -651,646, 157, -651,2
75000,FB,-547, 806, -174,-544, 806, -174,3
75000,FB,276, -818, 152,276, -816, 151,2.23607
75000,FB,-248, -215, 181,-247, -217, 183,3
75000,FB,640, 716, -602,642, 717, -603,2.44949
75000,FB,-67, 273, 297,-67, 275, 297,2
75000,FB,-538, -859, -170,-536, -857, -169,3
75000,FB,-921, -125, -981,-919, -124, -981,2.23607
75000,FB,-139, -766, -993,-137, -765, -994,2.44949
75000,FB,659, 500, 277,661, 500, 278,2.23607
75000,FB,731, -59, -22,733, -59, -21,2.23607
75000,FB,-23, -94, -890,-22, -95, -888,2.44949
100000,FB,53, 994, -864,54, 993, -866,2.44949
100000,FB,795, -789, 69,797, -790, 70,2.44949
100000,FB,5, -266, 754,7, -267, 755,2.44949
